,date,New England : wind,New England : all utility-scale solar,New England : biomass,New England : wood and wood-derived fuels,New England : other biomass,New England : all utility-scale solar.1,Connecticut : wind,Connecticut : all utility-scale solar,Connecticut : biomass,Connecticut : wood and wood-derived fuels,Connecticut : other biomass,Connecticut : all utility-scale solar.1,Maine : wind,Maine : all utility-scale solar,Maine : biomass,Maine : wood and wood-derived fuels,Maine : other biomass,Maine : all utility-scale solar.1,Massachusetts : wind,Massachusetts : all utility-scale solar,Massachusetts : biomass,Massachusetts : wood and wood-derived fuels,Massachusetts : other biomass,Massachusetts : all utility-scale solar.1,New Hampshire : wind,New Hampshire : biomass,New Hampshire : wood and wood-derived fuels,New Hampshire : other biomass,Rhode Island : wind,Rhode Island : all utility-scale solar,Rhode Island : biomass,Rhode Island : other biomass,Rhode Island : all utility-scale solar.1,Vermont : wind,Vermont : all utility-scale solar,Vermont : biomass,Vermont : wood and wood-derived fuels,Vermont : other biomass,Vermont : all utility-scale solar.1,Middle Atlantic : wind,Middle Atlantic : all utility-scale solar,Middle Atlantic : biomass,Middle Atlantic : wood and wood-derived fuels,Middle Atlantic : other biomass,Middle Atlantic : all utility-scale solar.1,New Jersey : wind,New Jersey : all utility-scale solar,New Jersey : biomass,New Jersey : other biomass,New Jersey : all utility-scale solar.1,New York : wind,New York : all utility-scale solar,New York : biomass,New York : wood and wood-derived fuels,New York : other biomass,New York : all utility-scale solar.1,Pennsylvania : wind,Pennsylvania : all utility-scale solar,Pennsylvania : other biomass,Pennsylvania : all utility-scale solar.1,East North Central : wind,East North Central : all utility-scale solar,East North Central : biomass,East North Central : wood and wood-derived fuels,East North Central : other biomass,East North Central : all utility-scale solar.1,Illinois : wind,Illinois : all utility-scale solar,Illinois : biomass,Illinois : other biomass,Illinois : all utility-scale solar.1,Indiana : wind,Indiana : all utility-scale solar,Indiana : biomass,Indiana : wood and wood-derived fuels,Indiana : other biomass,Indiana : all utility-scale solar.1,Michigan : wind,Michigan : all utility-scale solar,Michigan : biomass,Michigan : wood and wood-derived fuels,Michigan : other biomass,Michigan : all utility-scale solar.1,Ohio : wind,Ohio : all utility-scale solar,Ohio : biomass,Ohio : wood and wood-derived fuels,Ohio : other biomass,Ohio : all utility-scale solar.1,South Atlantic : wind,South Atlantic : all utility-scale solar,South Atlantic : biomass,South Atlantic : wood and wood-derived fuels,South Atlantic : other biomass,South Atlantic : all utility-scale solar.1,Delaware : all utility-scale solar,Delaware : biomass,Delaware : other biomass,Delaware : all utility-scale solar.1,Florida : all utility-scale solar,Florida : biomass,Florida : wood and wood-derived fuels,Florida : other biomass,Florida : all utility-scale solar.1,Maryland : wind,Maryland : all utility-scale solar,Maryland : biomass,Maryland : other biomass,Maryland : all utility-scale solar.1,North Carolina : wind,North Carolina : all utility-scale solar,North Carolina : biomass,North Carolina : wood and wood-derived fuels,North Carolina : other biomass,North Carolina : all utility-scale solar.1,West South Central : wind,West South Central : all utility-scale solar,West South Central : biomass,West South Central : wood and wood-derived fuels,West South Central : other biomass,West South Central : all utility-scale solar.1,Texas : wind,Texas : all utility-scale solar,Texas : biomass,Texas : wood and wood-derived fuels,Texas : other biomass,Texas : all utility-scale solar.1,Mountain : wind,Mountain : all utility-scale solar,Mountain : geothermal,Mountain : biomass,Mountain : wood and wood-derived fuels,Mountain : other biomass,Mountain : all utility-scale solar.1,Arizona : wind,Arizona : all utility-scale solar,Arizona : biomass,Arizona : wood and wood-derived fuels,Arizona : other biomass,Arizona : all utility-scale solar.1,Colorado : wind,Colorado : all utility-scale solar,Colorado : biomass,Colorado : wood and wood-derived fuels,Colorado : other biomass,Colorado : all utility-scale solar.1,Idaho : wind,Idaho : all utility-scale solar,Idaho : geothermal,Idaho : biomass,Idaho : wood and wood-derived fuels,Idaho : other biomass,Idaho : all utility-scale solar.1,Montana : wind,Montana : all utility-scale solar,Montana : all utility-scale solar.1,Nevada : wind,Nevada : all utility-scale solar,Nevada : geothermal,Nevada : biomass,Nevada : other biomass,Nevada : all utility-scale solar.1,New Mexico : wind,New Mexico : all utility-scale solar,New Mexico : geothermal,New Mexico : biomass,New Mexico : other biomass,New Mexico : all utility-scale solar.1,Utah : wind,Utah : all utility-scale solar,Utah : geothermal,Utah : biomass,Utah : other biomass,Utah : all utility-scale solar.1,Wyoming : wind,Pacific Contiguous : wind,Pacific Contiguous : all utility-scale solar,Pacific Contiguous : geothermal,Pacific Contiguous : biomass,Pacific Contiguous : wood and wood-derived fuels,Pacific Contiguous : other biomass,Pacific Contiguous : all utility-scale solar.1,California : wind,California : all utility-scale solar,California : geothermal,California : biomass,California : wood and wood-derived fuels,California : other biomass,California : all utility-scale solar.1,Oregon : wind,Oregon : all utility-scale solar,Oregon : geothermal,Oregon : biomass,Oregon : wood and wood-derived fuels,Oregon : other biomass,Oregon : all utility-scale solar.1,Washington : wind,Washington : all utility-scale solar,Washington : biomass,Washington : wood and wood-derived fuels,Washington : other biomass,Washington : all utility-scale solar.1,Pacific Noncontiguous : wind,Pacific Noncontiguous : all utility-scale solar,Pacific Noncontiguous : geothermal,Pacific Noncontiguous : biomass,Pacific Noncontiguous : wood and wood-derived fuels,Pacific Noncontiguous : other biomass,Pacific Noncontiguous : all utility-scale solar.1,Alaska : wind,Alaska : biomass,Alaska : wood and wood-derived fuels,Alaska : other biomass,Hawaii : wind,Hawaii : all utility-scale solar,Hawaii : geothermal,Hawaii : biomass,Hawaii : wood and wood-derived fuels,Hawaii : other biomass,Hawaii : all utility-scale solar.1
0,18-Sep,199,84,435,271,165,84,1,6,68,23,45,6,134,1,129,122,7,1,11,69,88,5,83,69,23,97,89,8,10,2,21,21,2,22,7,33,32,1,7,482,93,332,28,304,93,1,65,59,59,65,259,25,143,28,115,25,221,4,130,4,1435,59,279,89,190,59,678,6,32,32,6,272,27,27,0,27,27,295,12,136,76,60,12,98,11,36,2,34,11,172,958,624,312,312,958,4,3,3,4,202,226,73,153,202,37,33,33,33,33,28,432,88,50,38,432,6028,288,47,0,48,288,4160,268,32,-1,33,268,1875,1492,327,52,27,25,1492,38,511,17,15,3,511,699,104,14,8,6,104,192,55,7,10,4,6,55,149,3,3,23,465,282,4,4,465,406,133,1,2,2,133,75,220,37,5,5,220,293,2329,2736,992,481,276,204,2736,1258,2672,977,392,224,167,2672,512,64,15,45,19,25,64,559,0,44,33,11,0,50,16,9,8,0,8,16,10,0,0,0,40,16,9,8,0,8,16
1,18-Oct,366,84,407,245,161,84,1,6,58,13,45,6,248,1,131,125,5,1,19,66,93,7,86,66,42,73,64,8,15,3,15,15,3,41,8,36,35,1,8,712,87,361,30,331,87,2,60,67,67,60,380,23,153,30,123,23,330,4,142,4,2555,45,317,98,219,45,1172,5,36,36,5,518,21,31,0,31,21,536,9,140,68,72,9,172,8,42,2,40,8,233,1029,669,293,376,1029,4,4,4,4,227,240,76,164,227,43,36,37,37,36,42,474,117,67,51,474,7479,235,49,0,49,235,5594,217,33,0,33,217,2003,1117,318,55,28,28,1117,40,369,18,15,3,369,721,77,13,7,7,77,202,40,7,12,6,6,40,177,3,3,24,366,275,4,4,366,471,100,1,2,2,100,57,163,36,6,6,163,309,1737,2158,946,485,279,206,2158,1028,2110,932,393,223,170,2110,315,48,14,45,20,25,48,394,0,47,36,11,0,57,16,9,12,0,12,16,12,0,0,0,46,16,9,12,0,12,16
2,18-Nov,353,53,396,240,156,53,1,5,60,23,36,5,240,1,105,100,6,1,21,40,94,7,86,40,41,88,80,8,15,2,18,18,2,36,6,31,30,1,6,732,68,348,28,320,68,2,48,59,59,48,388,18,146,28,118,18,341,3,143,3,2405,20,345,131,214,20,1064,3,35,35,3,508,9,30,0,30,9,510,3,157,86,71,3,177,4,40,2,38,4,261,761,690,309,381,761,3,4,4,3,181,258,79,179,181,46,28,28,28,28,57,363,96,46,49,363,8219,249,53,0,53,249,6068,233,35,0,36,233,2223,925,337,57,30,27,925,44,321,19,16,3,321,756,64,14,8,6,64,222,31,7,12,6,6,31,211,2,2,26,287,291,4,4,287,561,85,1,2,2,85,62,135,37,6,6,135,340,1596,1530,985,470,268,202,1530,638,1496,970,383,214,169,1496,443,33,15,44,20,24,33,516,1,43,34,9,1,61,13,9,10,0,10,13,13,0,0,0,49,13,9,10,0,10,13
3,18-Dec,362,93,457,291,166,93,1,28,65,27,39,28,249,1,103,97,6,1,15,56,101,7,94,56,42,134,126,8,15,2,18,18,2,39,7,36,35,1,7,723,69,363,30,333,69,2,45,64,64,45,384,22,155,30,125,22,337,3,144,3,2750,23,336,119,217,23,1261,3,36,36,3,596,11,31,0,31,11,546,4,155,80,75,4,191,4,42,2,40,4,264,673,651,247,404,673,3,4,4,3,176,250,58,192,176,50,23,32,32,23,50,303,84,37,47,303,9088,208,64,6,57,208,6551,194,46,6,40,194,2523,674,358,59,30,29,674,46,219,21,18,3,219,1046,49,15,8,7,49,233,21,7,12,5,7,21,210,1,1,27,222,309,5,5,222,553,62,1,2,2,62,54,97,40,6,6,97,355,1415,1251,1045,484,272,213,1251,570,1225,1030,405,226,179,1225,388,26,16,34,11,23,26,457,1,46,35,11,1,66,12,10,8,0,8,12,13,0,0,0,52,12,10,8,0,8,12
4,19-Jan,366,79,462,318,144,79,1,7,52,23,29,7,247,0,120,114,6,0,18,61,88,7,81,61,42,140,132,8,21,3,15,15,3,37,8,47,41,5,8,813,83,320,25,295,83,2,55,62,62,55,465,24,130,25,105,24,346,4,127,4,3164,27,342,119,223,27,1471,3,37,37,3,663,13,34,0,34,13,602,5,157,79,77,5,236,5,40,2,38,5,255,898,713,351,362,898,3,5,5,3,236,256,86,170,236,45,26,23,23,26,54,403,110,60,50,403,9304,255,58,0,58,255,6920,241,39,0,39,241,2420,795,351,58,30,28,795,48,279,20,18,3,279,941,61,13,7,6,61,219,27,9,12,5,7,27,221,2,2,28,239,310,5,5,239,542,69,5,2,2,69,63,112,28,5,5,112,358,1103,1288,997,484,279,204,1288,536,1256,981,398,224,174,1256,252,30,16,42,20,22,30,315,2,43,35,8,2,58,13,0,10,0,10,13,12,0,0,0,46,13,0,10,0,10,13
5,19-Feb,397,92,400,264,136,92,1,8,56,20,36,8,275,0,102,97,5,0,20,71,73,7,66,71,46,110,103,7,18,3,17,17,3,36,9,42,37,5,9,713,100,296,19,277,100,2,65,54,54,65,414,30,123,19,104,30,297,5,120,5,2759,44,298,98,199,44,1307,3,33,33,3,594,20,30,0,30,20,508,11,136,67,70,11,183,8,37,2,34,8,221,862,613,294,319,862,3,4,4,3,251,217,64,153,251,41,27,13,13,27,47,392,97,52,44,392,8643,252,48,-1,48,252,6634,239,33,-1,33,239,2383,834,326,51,26,26,834,47,276,18,16,2,276,847,66,12,6,6,66,217,28,8,10,4,6,28,192,2,2,28,262,286,4,4,262,600,73,6,2,2,73,97,119,26,5,5,119,355,1747,1517,926,416,231,185,1517,1053,1482,911,342,182,160,1482,310,32,15,36,17,19,32,385,2,39,32,6,2,53,14,0,10,0,10,14,11,0,0,0,42,14,0,10,0,10,14
6,19-Mar,406,130,402,245,157,130,1,11,64,22,42,11,275,1,91,85,6,1,20,101,85,8,77,101,47,110,102,8,21,4,18,18,4,42,13,34,28,6,13,811,143,291,25,266,143,2,92,50,50,92,470,44,118,25,93,44,339,6,123,6,3137,61,331,99,232,61,1490,5,38,38,5,649,28,34,0,34,28,608,13,150,71,79,13,201,11,41,2,38,11,249,1407,649,298,351,1407,5,4,4,5,364,215,44,171,364,46,43,16,16,43,58,651,105,54,51,651,9120,310,58,14,44,310,6689,288,46,14,33,288,2373,1267,357,52,25,27,1267,47,438,16,14,3,438,924,97,14,8,6,97,215,46,9,10,4,7,46,191,2,2,28,385,313,5,5,385,551,109,6,2,2,109,68,174,28,5,5,174,351,1757,2309,1022,424,218,206,2309,1090,2251,1005,347,171,176,2251,301,55,17,40,18,22,55,366,4,37,29,8,4,59,18,0,14,0,14,18,13,0,0,0,47,18,0,14,0,14,18
7,19-Apr,376,143,311,163,149,143,1,13,56,14,42,13,255,1,64,58,6,1,19,111,82,9,73,111,44,64,56,8,19,5,14,14,5,38,14,31,25,5,14,779,135,263,14,248,135,2,88,58,58,88,448,42,83,14,69,42,329,6,122,6,3413,63,300,85,215,63,1623,6,35,35,6,712,30,32,0,32,30,667,13,133,59,74,13,204,12,38,2,35,12,273,1488,619,294,325,1488,5,4,4,5,398,183,35,148,398,51,46,22,22,46,57,670,106,55,51,670,10590,452,44,0,45,452,7833,427,31,0,31,427,2557,1470,311,54,28,25,1470,50,519,20,18,2,519,1014,113,13,7,6,113,231,53,8,9,3,6,53,212,3,3,30,432,272,4,4,432,578,128,6,2,2,128,64,205,25,5,5,205,377,2924,2678,916,370,177,193,2678,1474,2611,901,339,177,162,2611,687,63,15,23,0,23,63,764,4,8,0,8,4,66,22,0,9,0,9,22,14,0,0,0,52,22,0,9,0,9,22
8,19-May,241,144,347,206,141,144,1,13,69,23,45,13,158,1,77,71,6,1,12,112,75,9,65,112,28,82,76,6,16,5,13,13,5,26,14,32,26,5,14,532,150,310,27,284,150,2,96,53,53,96,301,47,130,27,103,47,230,7,128,7,2396,65,312,87,225,65,1133,6,37,37,6,498,31,34,0,34,31,459,14,139,63,77,14,159,12,39,2,37,12,232,1649,748,387,361,1649,6,4,4,6,404,235,74,161,404,45,50,33,33,50,40,761,115,66,49,761,10177,424,51,0,51,424,7757,398,35,0,35,398,2344,1557,335,57,30,26,1557,46,543,21,18,3,543,866,122,12,6,6,122,213,58,8,12,6,6,58,189,3,3,27,455,295,4,4,455,591,137,4,2,2,137,64,219,27,5,5,219,347,3264,2793,970,396,217,179,2793,1837,2720,953,368,217,151,2720,706,69,16,23,0,23,69,720,4,5,0,5,4,58,22,0,9,0,9,22,12,0,0,0,46,22,0,9,0,9,22
9,19-Jun,221,159,330,184,145,159,1,14,64,24,41,14,148,1,79,73,6,1,11,123,72,6,66,123,26,79,71,8,13,5,19,19,5,23,15,17,12,5,15,572,168,324,26,298,168,2,109,53,53,109,327,52,140,26,114,52,243,7,131,7,2135,74,307,100,206,74,1034,6,34,34,6,427,35,31,0,31,35,398,16,142,72,70,16,148,13,37,2,35,13,211,1509,730,379,351,1509,5,4,4,5,342,216,68,148,342,39,48,35,35,48,38,741,110,60,50,741,8290,505,52,0,52,505,6285,476,34,0,34,476,2110,1748,322,55,29,26,1748,42,614,20,17,3,614,780,137,12,7,6,137,192,67,8,12,5,6,67,177,3,3,25,499,284,4,4,499,516,156,4,2,2,156,65,249,26,5,5,249,313,3408,3407,972,426,245,181,3407,1563,3318,956,381,229,152,3318,961,84,16,22,0,22,84,884,5,23,16,7,5,50,22,0,8,0,8,22,11,0,0,0,40,22,0,8,0,8,22
